Timestamp,Price,Price_from,Price_to
2024-02-28 07:25:10,45412.37076500825,,45412.37076500825
2024-02-28 07:30:10,45390.844019065196,45412.37076500825,45390.844019065196
2024-02-28 07:34:55,45456.32525817589,45390.844019065196,45456.32525817589
2024-02-28 07:40:05,45584.31703078297,45456.32525817589,45584.31703078297
2024-02-28 07:45:34,45807.18272784902,45584.31703078297,45807.18272784902
2024-02-28 07:50:21,45773.576336699094,45807.18272784902,45773.576336699094
2024-02-28 07:55:19,45929.27607741619,45773.576336699094,45929.27607741619
2024-02-28 08:00:36,46040.21640379672,45929.27607741619,46040.21640379672
2024-02-28 08:05:11,46275.48081429688,46040.21640379672,46275.48081429688
2024-02-28 08:10:17,46174.38401202092,46275.48081429688,46174.38401202092
2024-02-28 08:15:20,46118.762974830715,46174.38401202092,46118.762974830715
2024-02-28 08:21:09,46285.231711774366,46118.762974830715,46285.231711774366
2024-02-28 08:25:15,46451.17285211882,46285.231711774366,46451.17285211882
2024-02-28 08:30:31,46365.58501131736,46451.17285211882,46365.58501131736
2024-02-28 08:35:32,46346.997506240165,46365.58501131736,46346.997506240165
2024-02-28 08:40:29,46421.801236636886,46346.997506240165,46421.801236636886
2024-02-28 08:45:36,46550.80500339682,46421.801236636886,46550.80500339682
2024-02-28 08:50:33,46661.65899177901,46550.80500339682,46661.65899177901
2024-02-28 08:55:27,46809.796536173,46661.65899177901,46809.796536173
2024-02-28 09:01:29,47097.29909397688,46809.796536173,47097.29909397688
2024-02-28 09:05:12,46926.11661803896,47097.29909397688,46926.11661803896
2024-02-28 09:10:52,46914.305271043166,46926.11661803896,46914.305271043166
2024-02-28 09:15:16,46950.34584691991,46914.305271043166,46950.34584691991
2024-02-28 09:20:38,46816.80835338567,46950.34584691991,46816.80835338567
2024-02-28 09:25:33,46756.96662286001,46816.80835338567,46756.96662286001
2024-02-28 09:30:12,46693.2401806701,46756.96662286001,46693.2401806701
2024-02-28 09:35:23,46816.92080613202,46693.2401806701,46816.92080613202
2024-02-28 09:40:29,46813.32691585779,46816.92080613202,46813.32691585779
2024-02-28 09:45:20,46830.27462923523,46813.32691585779,46830.27462923523
2024-02-28 09:50:39,46937.31402426993,46830.27462923523,46937.31402426993
2024-02-28 09:55:19,47037.74062415314,46937.31402426993,47037.74062415314
2024-02-28 10:00:17,46989.49259988585,47037.74062415314,46989.49259988585
2024-02-28 10:05:28,46946.387302036084,46989.49259988585,46946.387302036084
2024-02-28 10:10:29,46899.641187089524,46946.387302036084,46899.641187089524
2024-02-28 10:15:48,46775.611109091755,46899.641187089524,46775.611109091755
2024-02-28 10:20:31,46769.67516586385,46775.611109091755,46769.67516586385
2024-02-28 10:25:14,46853.11770206896,46769.67516586385,46853.11770206896
2024-02-28 10:30:28,46800.34242161232,46853.11770206896,46800.34242161232
2024-02-28 10:35:07,46788.62660136671,46800.34242161232,46788.62660136671
2024-02-28 10:40:44,46893.20465843316,46788.62660136671,46893.20465843316
2024-02-28 10:45:12,46813.24048877909,46893.20465843316,46813.24048877909
2024-02-28 10:50:25,46837.629343013534,46813.24048877909,46837.629343013534
2024-02-28 10:55:23,46860.584041458394,46837.629343013534,46860.584041458394
2024-02-28 11:01:09,46868.5002328862,46860.584041458394,46868.5002328862
2024-02-28 11:05:45,46887.97888323926,46868.5002328862,46887.97888323926
2024-02-28 11:10:27,46920.691403307166,46887.97888323926,46920.691403307166
2024-02-28 11:15:13,46852.44279387718,46920.691403307166,46852.44279387718
2024-02-28 11:20:32,46941.87473121095,46852.44279387718,46941.87473121095
2024-02-28 11:25:33,46956.84174614109,46941.87473121095,46956.84174614109
2024-02-28 11:30:27,46962.94626135659,46956.84174614109,46962.94626135659
2024-02-28 11:35:15,46930.9838683702,46962.94626135659,46930.9838683702
2024-02-28 11:40:30,46889.69415175174,46930.9838683702,46889.69415175174
2024-02-28 11:45:23,46857.1742095318,46889.69415175174,46857.1742095318
2024-02-28 11:50:25,46732.86553122445,46857.1742095318,46732.86553122445
2024-02-28 11:55:14,46521.893775693075,46732.86553122445,46521.893775693075
2024-02-28 12:01:38,46616.90110651835,46521.893775693075,46616.90110651835
2024-02-28 12:05:18,46701.64945704395,46616.90110651835,46701.64945704395
2024-02-28 12:10:29,46693.32412491853,46701.64945704395,46693.32412491853
2024-02-28 12:14:53,46721.02146582391,46693.32412491853,46721.02146582391
2024-02-28 12:20:25,46805.361020863296,46721.02146582391,46805.361020863296
2024-02-28 12:25:35,46844.19471116238,46805.361020863296,46844.19471116238
2024-02-28 12:30:52,46872.67590936678,46844.19471116238,46872.67590936678
2024-02-28 12:35:21,46885.315053097096,46872.67590936678,46885.315053097096
2024-02-28 12:40:26,46987.43801833267,46885.315053097096,46987.43801833267
2024-02-28 12:45:36,46977.09200561149,46987.43801833267,46977.09200561149
2024-02-28 12:50:21,46972.289094685795,46977.09200561149,46972.289094685795
2024-02-28 12:55:12,46977.6150576599,46972.289094685795,46977.6150576599
2024-02-28 13:00:14,46966.87001875213,46977.6150576599,46966.87001875213
2024-02-28 13:05:32,46985.32521966711,46966.87001875213,46985.32521966711
2024-02-28 13:10:13,47362.757843000305,46985.32521966711,47362.757843000305
2024-02-28 13:15:04,47404.912633343585,47362.757843000305,47404.912633343585
2024-02-28 13:21:36,47389.45675604917,47404.912633343585,47389.45675604917
2024-02-28 13:26:51,47820.85448228813,47389.45675604917,47820.85448228813
2024-02-28 13:31:49,47636.332651618395,47820.85448228813,47636.332651618395
2024-02-28 13:36:34,47874.36026137892,47636.332651618395,47874.36026137892
